,phrase,label,sentiment,subjectivity,language,count
Storm Goretti,Storm Goretti,PERSON,-0.22413793103448282,0.4655172413793104,en,5.8
Storm Bram,Storm Bram,PERSON,0.12179487179487178,0.19871794871794868,en,2.6
Ashoka Ranwala,Ashoka Ranwala,PERSON,0.0,0.16987179487179485,en,1.3
Gentle Reset,Gentle Reset,PERSON,0.30303030303030304,0.9638047138047139,en,1.2
Port Pirie,Port Pirie,PERSON,-0.07777777777777779,0.14444444444444446,en,1.0
Kingsley Omonobi,Kingsley Omonobi,PERSON,0.08666666666666667,0.3133333333333333,en,1.0
Met Éireann,Met Éireann,PERSON,0.0,1.0,en,1.0
Nelson Byrd Woltz Landscape Architects,Nelson Byrd Woltz Landscape Architects,PERSON,-0.02121212121212122,0.30707070707070705,en,1.0
Thomas Woltz,Thomas Woltz,PERSON,0.0,0.0,en,1.0
Camille Styles,Camille Styles,PERSON,0.19545454545454546,0.5292929292929293,en,1.0
Willis Eschenbach,Willis Eschenbach,PERSON,0.0,0.3,en,1.0
Ezra As,Ezra As,PERSON,0.3666666666666667,0.45,en,1.0
Narayana Murthy,Narayana Murthy,PERSON,0.0,0.3333333333333333,en,1.0
Ahmed al Ahmed,Ahmed al Ahmed,PERSON,-0.4000000000000001,0.6,en,1.0
Brock Nelson,Brock Nelson,PERSON,0.22916666666666666,1.6208333333333333,en,1.0
Storm Éowyn,Storm Éowyn,PERSON,0.5,0.5,en,1.0
Mackenzie Blackwood,Mackenzie Blackwood,PERSON,0.5125,0.675,en,1.0
Scott Wedgewood,Scott Wedgewood,PERSON,0.5125,0.675,en,1.0
Nasonia vitripennis,Nasonia vitripennis,PERSON,0.16666666666666663,0.4020833333333333,en,1.0
